message_id,cleaned_message_body,predicted_category,key_entities
M0001,reflect available century join outside i cant login why fix it,Feature Request,"{'user_names': [], 'locations': []}"
M0002,try cause behind single project sport sound clear i cant login why fix it,Complaint,"{'user_names': [], 'locations': []}"
M0003,while travel major strong pull us history light improve more memory feature req can u add dark mode tnx,Praise,"{'user_names': [], 'locations': []}"
M0004,can nothing force move free body stand approach she seek then represent conference war accnt not wrking getting errrr msg all the time,Account Issue,"{'user_names': [], 'locations': []}"
M0005,control skin fall left worker ready take property recognize expert pls hlp me asap system crashd,Praise,"{'user_names': [], 'locations': []}"
M0006,quite water world century drug know room really unit recognize especially error 404 page not found,Other,"{'user_names': [], 'locations': []}"
M0007,attack catch soldier charge accnt not wrking getting errrr msg all the time,Feature Request,"{'user_names': [], 'locations': []}"
M0008,voice reality painting material recently high system policy u guyz rock,Account Issue,"{'user_names': [], 'locations': []}"
M0009,shake behavior nor democrat anyone president back together factor error 404 page not found,Praise,"{'user_names': [], 'locations': []}"
M0010,drop give his meeting away u guyz rock,Feature Request,"{'user_names': [], 'locations': []}"
M0011,high language main spring nature already also thousand so price if paper really position feature req can u add dark mode tnx,Feature Request,"{'user_names': [], 'locations': []}"
M0012,professional civil assume thank rest four without debate error 404 page not found,Praise,"{'user_names': [], 'locations': []}"
M0013,side meeting executive hold process behind town red nice at form sport upon into i cant login why fix it,Other,"{'user_names': [], 'locations': []}"
M0014,first point specific report clearly accnt not wrking getting errrr msg all the time,Bug Report,"{'user_names': [], 'locations': []}"
M0015,she difference ten suddenly wear soldier light u guyz rock,Praise,"{'user_names': [], 'locations': []}"
M0016,still respond everything error 404 page not found,Praise,"{'user_names': [], 'locations': []}"
M0017,piece board half particular glass human show image parent rich help feature req can u add dark mode tnx,Other,"{'user_names': [], 'locations': []}"
M0018,customer reason camera because away election worker region again really long during anyone box manage u guyz rock,Feature Request,"{'user_names': [], 'locations': []}"
M0019,care give occur prove suddenly travel our tell i cant login why fix it,Account Issue,"{'user_names': [], 'locations': []}"
M0020,his wife represent under world i cant login why fix it,Account Issue,"{'user_names': [], 'locations': []}"
M0021,half single center hotel four teach top write marriage campaign able specific ready same pls hlp me asap system crashd,Other,"{'user_names': [], 'locations': []}"
M0022,decade century theory husband prepare these receive cup doctor u guyz rock,Complaint,"{'user_names': [], 'locations': []}"
M0023,at kitchen box about wait whose community popular way from weight ask feature req can u add dark mode tnx,Praise,"{'user_names': [], 'locations': []}"
M0024,move poor mention specific world purpose investment at accnt not wrking getting errrr msg all the time,Account Issue,"{'user_names': [], 'locations': []}"
M0025,purpose score across party market painting peace face cause newspaper pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0026,manager huge today probably my when important pls hlp me asap system crashd,Account Issue,"{'user_names': [], 'locations': []}"
M0027,kitchen store method now reach language beat house stage college nearly political error 404 page not found,Praise,"{'user_names': [], 'locations': []}"
M0028,charge follow owner many fast near could hard score agency ahead authority report various feature req can u add dark mode tnx,Feature Request,"{'user_names': [], 'locations': []}"
M0029,kid possible success final investment argue prepare above owner energy u guyz rock,Other,"{'user_names': [], 'locations': []}"
M0030,adult big theory future actually hot personal management color senior age product i cant login why fix it,Complaint,"{'user_names': [], 'locations': []}"
M0031,after carry energy common his catch reduce off guy light society error 404 page not found,Bug Report,"{'user_names': [], 'locations': []}"
M0032,anyone herself tough smile gun education head effort right exactly u guyz rock,Bug Report,"{'user_names': [], 'locations': []}"
M0033,pressure war picture take story democratic u guyz rock,Account Issue,"{'user_names': [], 'locations': []}"
M0034,night prevent power feeling the rock you real all agency right figure son guess result error 404 page not found,Feature Request,"{'user_names': [], 'locations': []}"
M0035,dinner scene trade suddenly opportunity especially small project wide above no agreement instead u guyz rock,Bug Report,"{'user_names': [], 'locations': []}"
M0036,find gas those cause others sign rather range station seek per error 404 page not found,Feature Request,"{'user_names': [], 'locations': []}"
M0037,town south gas reality model many court resource glass fall west employee series pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0038,career cost suddenly indeed customer kind pls hlp me asap system crashd,Other,"{'user_names': [], 'locations': []}"
M0039,message moment memory hot add perform arrive number base accnt not wrking getting errrr msg all the time,Praise,"{'user_names': [], 'locations': []}"
M0040,key quality beyond community set exactly i cant login why fix it,Feature Request,"{'user_names': [], 'locations': []}"
M0041,teacher certain compare blood effort likely short kid pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0042,job past different somebody though u guyz rock,Other,"{'user_names': [], 'locations': []}"
M0043,speak travel degree class born interview bar approach me direction peace church order east i cant login why fix it,Other,"{'user_names': [], 'locations': []}"
M0044,kind factor sure subject ball tell argue ever anything speak concern u guyz rock,Account Issue,"{'user_names': [], 'locations': []}"
M0045,down single evening sit small event range learn girl personal movie feature req can u add dark mode tnx,Bug Report,"{'user_names': [], 'locations': []}"
M0046,nation civil able dog pls hlp me asap system crashd,Bug Report,"{'user_names': [], 'locations': []}"
M0047,indeed across mr quality quite wrong scene outside letter member relationship possible error 404 page not found,Account Issue,"{'user_names': [], 'locations': []}"
M0048,especially half some some provide fly congress learn more ball body sit send i cant login why fix it,Account Issue,"{'user_names': [], 'locations': []}"
M0049,into back keep same specific read put accnt not wrking getting errrr msg all the time,Account Issue,"{'user_names': [], 'locations': []}"
M0050,learn crime suffer modern section coach cause reach feature req can u add dark mode tnx,Praise,"{'user_names': [], 'locations': []}"
M0051,single range company provide hear far both however mother instead thought pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0052,agreement must main i cant login why fix it,Other,"{'user_names': [], 'locations': []}"
M0053,various himself our exactly analysis enough help pls hlp me asap system crashd,Bug Report,"{'user_names': [], 'locations': []}"
M0054,present summer lose quality moment rock prevent strategy local expect pass person arm i cant login why fix it,Praise,"{'user_names': [], 'locations': []}"
M0055,baby deep song take tend finish accnt not wrking getting errrr msg all the time,Account Issue,"{'user_names': [], 'locations': []}"
M0056,improve maintain night audience off through moment ready u guyz rock,Bug Report,"{'user_names': [], 'locations': []}"
M0057,home sort reality instead pls hlp me asap system crashd,Praise,"{'user_names': [], 'locations': []}"
M0058,over see he since different reason tough star doctor our only feature req can u add dark mode tnx,Account Issue,"{'user_names': [], 'locations': []}"
M0059,street red contain newspaper pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0060,specific building my do our group feature req can u add dark mode tnx,Account Issue,"{'user_names': [], 'locations': []}"
M0061,simple perform practice investment product gun mrs career everyone role none see painting compare i cant login why fix it,Other,"{'user_names': [], 'locations': []}"
M0062,agreement realize building prevent religious window relationship figure practice position same i cant login why fix it,Complaint,"{'user_names': [], 'locations': []}"
M0063,possible financial environmental fast their establish protect property church evidence speak u guyz rock,Bug Report,"{'user_names': [], 'locations': []}"
M0064,account sort expect final goal much religious today level floor store care stuff feature req can u add dark mode tnx,Complaint,"{'user_names': [], 'locations': []}"
M0065,order compare plant company lose represent item i cant login why fix it,Account Issue,"{'user_names': [], 'locations': []}"
M0066,participant administration perform discover soldier exactly piece chance able u guyz rock,Other,"{'user_names': [], 'locations': []}"
M0067,total effort also itself space speech expect road computer want accnt not wrking getting errrr msg all the time,Praise,"{'user_names': [], 'locations': []}"
M0068,southern writer participant these tv such tend notice southern painting whether exist pls hlp me asap system crashd,Account Issue,"{'user_names': [], 'locations': []}"
M0069,wear defense ever expect role population project while involve open particularly election administration red error 404 page not found,Bug Report,"{'user_names': [], 'locations': []}"
M0070,someone week usually large from stop industry road a full myself measure feature req can u add dark mode tnx,Account Issue,"{'user_names': [], 'locations': []}"
M0071,military affect with unit food training population impact religious social director gas animal feature req can u add dark mode tnx,Bug Report,"{'user_names': [], 'locations': []}"
M0072,food relationship make season sense themselves feeling feature req can u add dark mode tnx,Other,"{'user_names': [], 'locations': []}"
M0073,keep official over base u guyz rock,Praise,"{'user_names': [], 'locations': []}"
M0074,democratic fight example pick election meet pls hlp me asap system crashd,Other,"{'user_names': [], 'locations': []}"
M0075,third study though feeling term leave though u guyz rock,Complaint,"{'user_names': [], 'locations': []}"
M0076,sport enter many significant hear evening expert wait stuff require catch government error 404 page not found,Complaint,"{'user_names': [], 'locations': []}"
M0077,level ball others go fear away short prepare debate perform around allow response pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0078,half garden congress customer quality walk worker piece trip provide add when pls hlp me asap system crashd,Complaint,"{'user_names': [], 'locations': []}"
M0079,nothing save street year beautiful big thought democrat which skin everybody interview find fill i cant login why fix it,Other,"{'user_names': [], 'locations': []}"
M0080,those remain administration health card identify within heart money peace everybody clearly discussion discuss role accnt not wrking getting errrr msg all the time,Other,"{'user_names': [], 'locations': []}"
M0081,then mother heavy final film pls hlp me asap system crashd,Account Issue,"{'user_names': [], 'locations': []}"
